business_id,sector,persona,years_in_business,data_history_months,annual_turnover_lakh,net_profit_margin,net_profit_lakh,employees,gst_return_flag,gst_ontime_rate,cashflow_volatility,bank_balance_monthly,bounce_rate,utility_kwh_year,utility_water_kl_year,utility_gas_year,promoter_age,promoter_cibil,promoter_income_lakh,outstanding_loans_rupee
MSME031,Leather Goods,established_stable,12.1,35,178.6,0.126,22.5,4,1,0.96,0.064,"[435013.0, 499421.0, 538766.0, 511857.0, 538636.0, 591539.0, 477843.0, 422939.0, 415264.0, 472706.0, 495786.0, 534852.0]",0.023,6845.0,122.0,5598.0,43,692.0,16.6,4637738.0
MSME032,Plastics & Polymers,established_stable,4.2,9,296.7,0.052,15.43,60,1,0.87,0.109,"[998763.0, 867847.0, 767253.0, 931715.0, 792110.0, 739678.0, 795633.0, 669193.0, 643783.0]",0.021,10915.0,947.0,17202.0,35,794.0,6.7,880527.0
MSME033,Plastics & Polymers,established_stable,6.3,9,93.6,0.087,8.14,22,1,0.99,0.194,"[148113.0, 157939.0, 270468.0, 267444.0, 272428.0, 266382.0, 263336.0, 279766.0, 176579.0]",0.004,3245.0,125.0,4742.0,34,746.0,4.5,2374998.0
MSME034,Retail/Trade,established_stable,9.5,8,118.2,0.158,18.68,50,1,0.98,0.106,"[298712.0, 312774.0, 390288.0, 317643.0, 407200.0, 310448.0, 255872.0, 275832.0]",0.012,1124.0,2603.0,0.0,39,709.0,13.7,3018833.0
MSME035,Leather Goods,established_declining,9.4,11,115.1,0.108,12.43,54,1,0.51,0.348,"[329186.0, 286173.0, 338040.0, 338101.0, 385704.0, 449060.0, 470625.0, 308501.0, 317757.0, 155417.0, 258927.0]",0.113,4602.0,1920.0,3835.0,34,672.0,10.0,1382758.0
MSME036,Iron & Steel,established_stable,5.2,35,323.9,0.087,28.18,60,1,0.92,0.058,"[787017.0, 980889.0, 909576.0, 945039.0, 989263.0, 864540.0, 749591.0, 729378.0, 687069.0, 617567.0, 674374.0, 694394.0]",0.005,16736.0,1152.0,25975.0,45,727.0,16.8,3101244.0
MSME037,Paper & Packaging,established_stable,10.9,22,198.1,0.098,19.41,36,1,0.91,0.056,"[504431.0, 524670.0, 547161.0, 601761.0, 611978.0, 593197.0, 539681.0, 463259.0, 448227.0, 448943.0, 444727.0, 474215.0]",0.01,10351.0,1208.0,8960.0,37,732.0,4.9,545114.0
MSME038,Electronics,established_stable,10.9,24,33.2,0.073,2.42,3,0,0.9,0.15,"[79591.0, 83571.0, 99744.0, 96299.0, 93018.0, 88473.0, 83554.0, 47724.0, 61220.0, 41999.0, 63361.0, 66044.0]",0.012,1660.0,41.0,546.0,47,682.0,9.0,871607.0
MSME039,Iron & Steel,established_stable,14.2,31,143.3,0.077,11.03,36,1,0.91,0.187,"[294230.0, 427540.0, 327288.0, 428228.0, 458100.0, 638664.0, 310617.0, 506448.0, 394085.0, 413847.0, 412623.0, 477029.0]",0.024,9053.0,480.0,11157.0,53,700.0,3.1,1445023.0
MSME040,Engineering Mfg.,established_stable,13.1,7,307.9,0.076,23.4,60,1,0.95,0.113,"[718728.0, 972252.0, 913439.0, 899069.0, 953003.0, 880048.0, 832143.0]",0.025,18464.0,1547.0,8527.0,29,730.0,11.3,4625577.0
MSME041,Leather Goods,established_stable,14.9,35,214.0,0.105,22.47,60,1,0.98,0.114,"[566694.0, 494409.0, 630231.0, 493429.0, 512405.0, 604997.0, 527549.0, 511760.0, 391895.0, 337202.0, 379743.0, 412592.0]",0.005,8898.0,1582.0,6913.0,42,688.0,3.8,3330.0
MSME042,Paper & Packaging,thin_file_risky,1.2,4,202.6,0.093,18.84,20,1,0.63,0.435,"[810928.0, 516015.0, 930882.0, 636512.0]",0.125,10439.0,744.0,9080.0,39,,8.5,1332232.0
MSME043,Paper & Packaging,thin_file_good,0.2,2,69.4,0.067,4.65,28,1,1.0,0.115,"[175707.0, 186996.0]",0.004,3995.0,1115.0,2253.0,31,,12.8,601872.0
MSME044,Leather Goods,established_stable,9.8,21,327.6,0.136,44.55,10,1,0.98,0.089,"[812815.0, 755741.0, 864245.0, 956982.0, 959123.0, 917404.0, 726803.0, 820539.0, 666813.0, 741557.0, 718603.0, 671626.0]",0.005,8154.0,320.0,10729.0,54,736.0,10.1,9194506.0
MSME045,Iron & Steel,thin_file_good,0.9,9,210.3,0.061,12.83,14,1,0.86,0.063,"[503419.0, 552241.0, 587256.0, 740373.0, 662845.0, 668659.0, 584086.0, 563604.0, 524112.0]",0.002,11139.0,199.0,16031.0,45,712.0,15.8,4758699.0
MSME046,Chemicals,established_declining,9.3,35,42.1,0.078,3.28,7,0,0.63,0.284,"[69855.0, 119277.0, 137596.0, 102173.0, 134300.0, 151629.0, 146821.0, 171259.0, 156773.0, 82758.0, 180040.0, 113143.0]",0.114,2474.0,232.0,2835.0,55,646.0,7.9,569672.0
MSME047,Engineering Mfg.,established_stable,10.9,21,142.7,0.087,12.41,28,1,0.85,0.108,"[339521.0, 377916.0, 390717.0, 362932.0, 416117.0, 391758.0, 358981.0, 360478.0, 333211.0, 267557.0, 294188.0, 277791.0]",0.02,5461.0,699.0,5901.0,43,683.0,14.2,3648034.0
MSME048,Electronics,thin_file_risky,0.7,3,240.3,0.073,17.54,60,0,0.69,0.34,"[165851.0, 715544.0, 906988.0]",0.069,10264.0,639.0,4053.0,44,,16.2,2699511.0
MSME049,Engineering Mfg.,thin_file_good,0.7,8,295.0,0.1,29.5,60,1,0.95,0.129,"[775931.0, 869261.0, 1076300.0, 881345.0, 952764.0, 714206.0, 968764.0, 715939.0]",0.012,13239.0,1952.0,7918.0,25,746.0,10.8,1896789.0
MSME050,Leather Goods,thin_file_good,0.3,3,47.1,0.147,6.92,10,1,0.86,0.115,"[114855.0, 117676.0, 146250.0]",0.02,1816.0,395.0,1199.0,56,,3.6,997291.0
MSME051,Electronics,thin_file_risky,0.1,2,254.5,0.065,16.54,12,0,0.42,0.529,"[550772.0, 551853.0]",0.081,12986.0,79.0,5504.0,30,,7.3,7362989.0
MSME052,Retail/Trade,thin_file_good,1.3,15,252.4,0.199,50.23,60,1,0.99,0.105,"[650296.0, 788902.0, 816342.0, 518195.0, 709199.0, 690857.0, 537483.0, 619696.0, 657573.0, 506736.0, 610549.0, 570710.0]",0.001,2943.0,2028.0,0.0,29,720.0,17.6,1656028.0
MSME053,Paper & Packaging,established_stable,14.7,10,43.9,0.066,2.9,2,1,0.91,0.131,"[117128.0, 112768.0, 163870.0, 103727.0, 151133.0, 147163.0, 104298.0, 141899.0, 118099.0, 116346.0]",0.016,2313.0,63.0,2038.0,30,718.0,12.8,886148.0
MSME054,IT/Services,thin_file_risky,0.3,3,67.3,0.244,16.42,7,1,0.53,0.427,"[-44090.0, 84692.0, 282123.0]",0.109,286.0,70.0,0.0,31,,12.6,102633.0
MSME055,Textile Garments,established_declining,13.8,18,48.0,0.113,5.42,15,1,0.54,0.421,"[210194.0, 150120.0, 194985.0, 99264.0, 90937.0, 163068.0, 182068.0, 122333.0, 52472.0, 48335.0, 46752.0, 32222.0]",0.09,1602.0,1071.0,1415.0,49,707.0,7.1,159443.0
MSME056,Electronics,established_declining,4.9,9,132.0,0.081,10.69,58,0,0.72,0.322,"[364892.0, 376638.0, 301222.0, 381176.0, 302826.0, 236920.0, 299371.0, 202201.0, 327055.0]",0.076,6559.0,701.0,2000.0,51,628.0,8.4,698368.0
MSME057,Iron & Steel,thin_file_risky,0.4,4,107.9,0.064,6.91,8,1,0.7,0.359,"[200521.0, 434313.0, 280211.0, 100028.0]",0.139,6316.0,104.0,8725.0,54,,14.9,1492035.0
MSME058,Engineering Mfg.,thin_file_good,0.0,2,158.4,0.09,14.26,46,1,0.98,0.073,"[347222.0, 404588.0]",0.006,7802.0,2075.0,4215.0,37,,7.0,2881135.0
MSME059,Engineering Mfg.,established_declining,9.7,12,87.8,0.08,7.02,4,1,0.63,0.386,"[284870.0, 306437.0, 229210.0, 207609.0, 250699.0, 153355.0, 114892.0, 120219.0, 132614.0, 93551.0, 182782.0, 231948.0]",0.102,5161.0,128.0,3865.0,50,645.0,15.5,561239.0
MSME060,Iron & Steel,thin_file_good,0.9,10,30.8,0.06,1.85,8,1,0.99,0.125,"[86074.0, 72480.0, 81815.0, 72892.0, 71262.0, 80402.0, 69383.0, 73850.0, 69986.0, 67208.0]",0.015,2077.0,87.0,2510.0,49,709.0,10.0,185320.0
